PAYMENT_TYPE,CREATION_DATE,CONTRACT_ID,CLIENT_ID,STATUS,DATE_OF_PAYMENT
the maid's contract verification,2026-01-14 14:22:31.000,1081356,188266,PRE_PDP,2026-01-14
The Maid's Overseas Employment Certificate,2025-12-26 05:23:42.000,1015165,162287,RECEIVED,2025-12-25
the maid's contract verification,2025-11-27 14:07:17.000,1054764,249793,RECEIVED,2025-11-27
Travel To Lebanon Visa,2025-07-04 15:32:45.000,1066811,48600,RECEIVED,2025-07-04
the maid's contract verification,2025-12-06 07:39:26.000,1049495,22082,RECEIVED,2025-12-05
the maid's contract verification,2025-11-06 14:05:17.000,1024403,182809,RECEIVED,2025-11-06
OWWA Registration,2026-01-19 14:44:14.000,1078564,310973,RECEIVED,2026-01-19
the maid's contract verification,2025-11-14 18:50:13.000,1080368,12709,RECEIVED,2025-11-14
the maid's contract verification,2025-12-01 13:13:58.000,1053003,230656,RECEIVED,2025-12-01
Travel To Lebanon Visa,2025-11-11 17:04:48.000,1054350,162305,RECEIVED,2025-11-11
the maid's contract verification,2025-12-03 08:10:15.000,1070364,295820,RECEIVED,2025-12-02
The Maid's Overseas Employment Certificate,2026-01-22 16:03:52.000,1053988,266574,RECEIVED,2026-01-22
the maid's contract verification,2025-12-04 09:41:09.000,1017389,139718,RECEIVED,2025-12-04
Travel To Egypt Visa,2025-11-19 12:22:31.000,1077397,287833,RECEIVED,2025-11-19
the maid's contract verification,2025-11-24 19:58:39.000,1046474,65847,RECEIVED,2025-12-11
the maid's contract verification,2025-11-23 20:45:54.000,1065377,316424,RECEIVED,2025-11-23
the maid's contract verification,2025-10-24 07:57:02.000,1059799,291581,RECEIVED,2025-10-23
the maid's contract verification,2026-02-05 12:10:19.000,1057848,280759,RECEIVED,2026-02-05
Travel To Lebanon Visa,2025-11-09 23:06:12.000,1056498,278337,RECEIVED,2025-11-09
The Maid's Overseas Employment Certificate,2026-01-31 10:12:44.000,1066730,277320,RECEIVED,2026-01-31
the maid's contract verification,2025-11-17 18:17:26.000,1065880,316475,RECEIVED,2025-11-17
the maid's contract verification,2025-12-17 08:19:53.000,1061068,260909,RECEIVED,2025-12-17
the maid's contract verification,2025-11-16 13:17:05.000,1066657,248640,RECEIVED,2025-11-16
OWWA Registration,2026-01-15 07:16:51.000,1022000,169158,RECEIVED,2026-01-14
the maid's contract verification,2025-11-25 09:52:16.000,1011256,59082,RECEIVED,2025-11-25
the maid's contract verification,2025-12-03 16:20:48.000,1079539,203158,RECEIVED,2025-12-03
the maid's contract verification,2026-02-03 14:31:34.000,1070230,316486,RECEIVED,2026-02-03
the maid's contract verification,2026-01-21 13:14:59.000,1030709,221329,RECEIVED,2026-01-21
the maid's contract verification,2025-11-09 11:47:32.000,1066196,277869,RECEIVED,2025-11-09
the maid's contract verification,2025-12-04 10:59:08.000,1013108,139334,RECEIVED,2025-12-04
the maid's contract verification,2025-12-30 08:40:43.000,1034071,230365,RECEIVED,2025-12-30
the maid's contract verification,2025-11-27 19:22:41.000,1052791,153736,RECEIVED,2025-11-27
the maid's contract verification,2025-11-06 15:52:22.000,1078253,381340,RECEIVED,2025-11-06
The Maid's Overseas Employment Certificate,2025-12-20 12:36:54.000,1071478,328578,RECEIVED,2025-12-17
The Maid's Overseas Employment Certificate,2026-01-29 11:35:57.000,1068481,309633,RECEIVED,2026-01-29
